filename,street_numbers,numbers_ground_truth_filename,original_filename,original_url
Atlas_de_Jacoubet_-_18._Commune_de_Belleville_et_ses_environs_(est)_-_BHVP.jpg,no,,Atlas_de_Jacoubet_-_18._Commune_de_Belleville_et_ses_environs_(est)_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/5/54/Atlas_de_Jacoubet_-_18._Commune_de_Belleville_et_ses_environs_%28est%29_-_BHVP.jpg
"Atlas_de_Jacoubet_-_19._Partie_de_la_commune_de_Passy,_Barrière_de_Longchamp_et_ses_environs_-_BHVP.jpg",yes,,"Atlas_de_Jacoubet_-_19._Partie_de_la_commune_de_Passy,_Barrière_de_Longchamp_et_ses_environs_-_BHVP.jpg",https://upload.wikimedia.org/wikipedia/commons/e/eb/Atlas_de_Jacoubet_-_19._Partie_de_la_commune_de_Passy%2C_Barri%C3%A8re_de_Longchamp_et_ses_environs_-_BHVP.jpg
"Atlas_de_Jacoubet_-_20._Eglise_St_Pierre,_Gros_Caillou_et_Chaillot_et_leurs_environs_-_BHVP.jpg",yes,,"Atlas_de_Jacoubet_-_20._Eglise_St_Pierre,_Gros_Caillou_et_Chaillot_et_leurs_environs_-_BHVP.jpg",https://upload.wikimedia.org/wikipedia/commons/8/82/Atlas_de_Jacoubet_-_20._Eglise_St_Pierre%2C_Gros_Caillou_et_Chaillot_et_leurs_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_21._Champs-Elysées_et_leurs_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_21._Champs-Elysées_et_leurs_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8c/Atlas_de_Jacoubet_-_21._Champs-Elys%C3%A9es_et_leurs_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_22._Tuileries_et_leurs_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_22._Tuileries_et_leurs_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Atlas_de_Jacoubet_-_22._Tuileries_et_leurs_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_23._Eglise_St_Eustache_et_ses_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_23._Eglise_St_Eustache_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d8/Atlas_de_Jacoubet_-_23._Eglise_St_Eustache_et_ses_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_24._Eglise_St_Nicolas_des_Champs_et_ses_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_24._Eglise_St_Nicolas_des_Champs_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/a/af/Atlas_de_Jacoubet_-_24._Eglise_St_Nicolas_des_Champs_et_ses_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_25._Théâtres_de_la_Gaîté_et_du_Cirque-Olympique_et_leurs_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_25._Théâtres_de_la_Gaîté_et_du_Cirque-Olympique_et_leurs_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/6/68/Atlas_de_Jacoubet_-_25._Th%C3%A9%C3%A2tres_de_la_Ga%C3%AEt%C3%A9_et_du_Cirque-Olympique_et_leurs_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_26._Abattoir_Ménilmontant_et_ses_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_26._Abattoir_Ménilmontant_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Atlas_de_Jacoubet_-_26._Abattoir_M%C3%A9nilmontant_et_ses_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_27._Cimetière_du_Père-Lachaise_et_ses_environs_-_BHVP.jpg,no,,Atlas_de_Jacoubet_-_27._Cimetière_du_Père-Lachaise_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/0/02/Atlas_de_Jacoubet_-_27._Cimeti%C3%A8re_du_P%C3%A8re-Lachaise_et_ses_environs_-_BHVP.jpg
