X,Y,numero
268.388077634018,4960.87883548983,13
304.020147874313,4884.75577634011,15
325.075462107215,4852.36298521257,17
372.045009242151,4730.89001848429,19
259.480060073944,5221.84325901109,18
325.885281885404,5067.16768137708,20
385.002125693167,4942.45543553605,22
512.143830868768,4647.88349121996,24
809.347689463961,6331.09390018484,225
1005.32407578559,6342.43137707948,270
1049.86416358596,6289.79309149723,272
1087.11587338263,6244.44318391867,274
1006.13389556378,6071.74911621996,233
1096.0238909427,5967.68727472273,235
1150.28181608134,5897.23295402033,237
1216.6870378928,5816.25097620148,239
1271.75478280962,5751.26293900185,241
1325.20288817006,5682.42825785582,243
1367.31351663586,5632.82679644177,245
1351.11712107209,5908.97534080407,276
1410.23396487986,5837.71120032347,278
1459.63297134936,5775.35507740296,280
1519.55963493531,5707.33021603512,282
1570.57828096119,5633.63661621996,284
1636.98350277265,5558.72828673752,286
1550.33278650647,5415.39018599815,247
1709.05746303143,5478.35367375231,288
1634.55404343808,5311.53079944547,247
1692.86106746766,5245.9353974122,249
1781.13142329021,5400.61097504621,290
1810.28493530499,5364.16908502773,292
1842.67772643254,5327.72719500924,294
1880.7392560074,5281.5674676525,296
1768.17430683919,5153.21103280961,251
1854.01520332718,5046.31482208873,253
1937.4266404806,5209.89841728281,298
1979.5372689464,5161.3092305915,300
2033.79519408503,5091.66472966728,302
1957.67213493531,4922.00748613678,255
2021.6478974122,4847.50406654344,257
2088.05311922366,5026.47423752311,304
2128.54410813309,4977.07523105361,306
2233.8206792976,4843.4549676525,308
2079.14510166359,4770.36873267098,259
2116.39681146026,4725.01882509242,261
1121.93812384474,6198.99204886783,2
1210.20847966729,6168.21889729667,4
1366.50369685768,6097.76457659427,6
1316.29487060999,5958.47557474584,5
1441.00711645102,6071.85034369223,8
1471.78026802219,6059.70304701941,10
1649.13079944548,5993.90519004159,12
1787.60998151572,5939.64726490296,14
1926.08916358596,5882.75742548521,16
1988.44528650647,5858.46283213955,18
2101.01023567468,5809.87364544824,20
2186.85113216266,5779.91031365527,22
2289.69824399261,5739.21686980129,24
2328.56959334566,5721.40083468114,26
